Ticker (10Y Data),Dividends Count (Per Year),Latest Dividend,Years Dividend Unpaid,Dividend Percentage Increasing Or Decreasing,All Years Avg Dividend,Dividend Yield (%),Price-to-Earnings Ratio,Free Cash Flow (Million $)
CL,4.0,0.48,0,Decreasing,0.41,0.67,72.2,2784.25
CMCSA,3.91,0.29,0,Decreasing,0.19,0.57,40.85,799.2155
CME,5.0,5.25,0,Decreasing,1.2,1.15,173.44,1867.0
CMG,0.0,0.0,11,Decreasing,,,27.13,-861.25
CMI,4.0,1.68,0,Decreasing,1.13,0.79,193.31,5110.0
CMS,4.0,0.488,0,Decreasing,0.36,0.94,55.19,-1719.0
CNC,0.0,0.0,11,Decreasing,,,67.61,15022.5
CNP,4.0,0.2,0,Decreasing,0.23,1.16,24.33,341.45
COF,4.0,0.6,0,Decreasing,0.42,0.51,100.72,9657.75
COO,2.0,0.0075,0,Increasing,0.01,0.01,85.76,2431.36925
COP,4.73,0.6,0,Decreasing,0.48,0.94,68.25,5416.75
COR,4.0,0.51,0,Decreasing,0.37,0.42,120.34,1257.594
COST,4.36,15.0,0,Decreasing,1.21,0.52,429.77,892.25
CPAY,0.0,0.0,11,Decreasing,,,242.2,635.15425
CPB,3.82,0.37,0,Decreasing,0.34,0.88,41.92,230.0305
CPRT,0.0,0.0,11,Decreasing,,,29.35,393.07975
CPT,4.09,1.0,0,Decreasing,0.85,1.18,104.67,6296.25
CRL,0.0,0.0,11,Decreasing,,,226.46,584.37075
CRM,0.0,0.0,11,Decreasing,,,206.63,15301.0
CRWD,0.0,0.0,5,Decreasing,,,145.65,431.6425
CSCO,3.91,0.39,0,Decreasing,0.3,0.93,44.77,3174.75
CSGP,0.0,0.0,11,Decreasing,,,72.08,1362.81
CSX,4.0,0.11,0,Decreasing,0.08,0.47,29.35,-205.5
CTAS,1.82,1.35,0,Decreasing,1.61,1.21,348.39,1611.5
CTLT,0.0,0.0,10,Decreasing,,,75.99,2341.5
CTRA,4.09,0.57,0,Decreasing,0.14,0.67,19.12,1296.0
CTSH,2.45,0.29,4,Decreasing,0.22,0.34,65.27,13254.5
CTVA,3.6,0.16,0,Decreasing,0.14,0.36,45.52,20048.5
CVS,4.0,0.605,0,Decreasing,0.45,0.69,69.69,21.5
CVX,4.0,1.51,0,Decreasing,1.19,1.34,111.48,-11131.25
CZR,0.0,0.0,10,Decreasing,,,58.39,-1134.25
C,4.0,0.53,0,Decreasing,0.3,0.61,50.67,9.575
DAL,2.64,0.1,0,Decreasing,0.21,0.51,40.67,360.5
DAY,0.0,0.0,6,Decreasing,,,77.01,521.38775
DD,4.0,0.36,0,Decreasing,0.46,0.76,64.19,3751.25
DECK,0.0,0.0,11,Decreasing,,,307.94,6731.0
DE,4.0,1.47,0,Decreasing,0.77,0.55,283.78,1398.75
DFS,3.91,0.7,0,Decreasing,0.39,0.59,89.26,1439.774
DGX,4.0,0.71,0,Decreasing,0.49,0.56,117.24,1492.725
DG,3.18,0.59,2,Decreasing,0.35,0.28,182.28,6429.25
DHI,3.64,0.3,1,Decreasing,0.15,0.29,75.27,2887.25
DHR,4.09,0.27,0,Decreasing,0.58,0.98,194.69,1675.73425
DIS,1.18,0.3,0,Decreasing,0.79,0.89,126.72,791.025
DLR,4.0,1.22,0,Decreasing,1.01,1.3,116.46,852.5455
DLTR,0.0,0.0,11,Decreasing,,,117.95,903.00825
DOC,4.0,0.3,0,Decreasing,0.4,1.78,24.32,4415.0
DOV,4.0,0.51,0,Decreasing,0.41,0.54,131.13,484.40275
DOW,3.8,0.7,0,Increasing,0.7,1.57,45.69,928.05
DPZ,4.0,1.21,0,Decreasing,0.62,0.29,351.86,-745.0
DRI,3.82,1.31,0,Decreasing,0.72,0.98,119.29,-2660.5
DTE,4.0,1.02,0,Decreasing,0.76,1.04,99.59,1261.52125
DUK,4.0,1.025,0,Decreasing,0.9,1.39,83.54,2271.75
DVA,0.0,0.0,11,Decreasing,,,97.03,286.625
DVN,4.09,0.89,0,Decreasing,0.33,0.93,31.56,-2561.5
DXCM,0.0,0.0,11,Decreasing,,,90.14,1745.0
D,4.0,0.668,0,Decreasing,0.71,1.31,62.69,1986.0
EA,1.18,0.19,7,Decreasing,0.18,0.14,120.16,1375.675
EBAY,1.82,0.25,6,Decreasing,0.19,0.43,45.68,-1375.5
ECL,4.0,0.57,0,Decreasing,0.41,0.3,183.05,509.7
ED,4.0,0.81,0,Decreasing,0.71,1.21,75.88,3738.75
EFX,4.0,0.39,0,Decreasing,0.35,0.29,182.14,-3539.0
EG,3.82,1.75,0,Decreasing,1.27,0.63,259.67,7739.0
EIX,4.0,0.78,0,Decreasing,0.56,1.12,56.45,1219.25
ELV,4.0,1.48,0,Decreasing,0.83,0.39,364.05,748.0
EL,3.91,0.66,0,Decreasing,0.41,0.3,219.85,2153.25
EMN,4.0,0.81,0,Decreasing,0.57,0.81,80.01,445.01225
EMR,4.0,0.525,0,Decreasing,0.48,0.85,79.69,4433.0
ENPH,0.0,0.0,11,Decreasing,,,130.07,463.2835
EOG,4.64,1.5,0,Decreasing,0.41,0.53,79.3,235.94275
EPAM,0.0,0.0,11,Decreasing,,,317.45,1153.1505
EQIX,3.45,4.26,1,Decreasing,3.19,1.06,637.21,1081.93
EQR,4.09,0.663,0,Decreasing,0.75,1.48,63.28,787.309
EQT,3.36,0.158,0,Decreasing,0.05,0.16,23.49,-1551.03775
ESS,4.0,2.31,0,Decreasing,1.8,0.92,241.24,2236.25
ES,4.0,0.675,0,Decreasing,0.51,0.98,72.37,-2385.159
ETN,3.73,0.86,0,Decreasing,0.65,0.84,127.45,651.327
ETR,4.0,1.13,0,Decreasing,0.91,1.38,94.58,-286.425
ETSY,0.0,0.0,9,Decreasing,,,114.3,908.05
EVRG,4.0,0.643,0,Decreasing,0.46,1.13,53.24,-3441.0
EW,0.0,0.0,11,Decreasing,,,88.68,1124.10025
EXC,4.0,0.36,0,Decreasing,0.26,1.14,32.22,766.5
EXPD,2.0,0.69,0,Decreasing,0.47,0.74,94.61,1078.67575
EXPE,2.64,0.0,0,Decreasing,0.25,0.25,123.53,1415.5
EXR,4.09,1.62,0,Decreasing,0.86,1.08,125.39,893.575
FANG,2.09,3.37,5,Decreasing,0.89,0.89,88.09,2195.25
FAST,4.18,0.38,0,Decreasing,0.21,0.73,43.58,498.50175
FCX,2.91,0.15,0,Decreasing,0.17,0.69,26.55,3282.5
FDS,4.0,0.98,0,Decreasing,0.63,0.29,345.91,1411.75
FDX,4.0,1.26,0,Decreasing,0.58,0.31,213.57,555.93375
FE,4.0,0.41,0,Decreasing,0.39,1.41,34.18,431.8185
FFIV,0.0,0.0,11,Decreasing,,,165.59,3158.5
FICO,1.55,0.0,0,Increasing,0.02,0.03,490.58,3095.5
FIS,4.0,0.52,0,Decreasing,0.33,0.46,101.2,3258.5
FITB,4.0,0.35,0,Decreasing,0.21,0.96,27.57,305.1
FI,0.0,0.0,11,Decreasing,,,106.09,1667.5
