Ticker,Current Assets,Quick Ratio,Debt To Equity Ratio,Total Debt To Total Capitalization Ratio,Debt To Assets Ratio,Net Debt To Equity Ratio,Return On Equity,Return On Assets,Return On Investment,Gross Profit Margin,Asset Turnover,Inventory Turnover,Receivables Turnover
CMI,1.5146808733097221,0.9931869780563658,0.6373054785117831,0.4842763149899394,0.22490026527549106,0.3175956639065387,0.17756955656502355,0.0657276526683274,0.12364891543176218,0.24140129101524477,0.969927504306497,1.3472081550189636,5.998837204484365
CMS,1.0261766929536376,0.7291214800466961,1.8959216919683208,0.701641763486148,0.4436546689092743,1.8584520396848512,0.13296065751488903,0.03141654044929053,0.04817619332193158,0.36902033884733154,0.2420096783403538,3.5153384727461345,7.181573063597283
CNC,1.0895726931312948,0.0,0.7730890326137192,0.45904459154698307,0.25846215937093914,0.17795197437150728,0.06829533916360897,0.022764125200774775,0.040612133323071974,0.11932763399174481,1.7310547464295223,0.0,10.640070863517254
CNP,1.0058120837792865,0.85179848071985,1.7309399570573039,0.6706164834024289,0.4337501998271946,1.7162631565594133,0.066317804590836,0.016713772323455577,0.023298371302528077,0.3917872922553258,0.22601542217388793,4.949384480230776,11.452605582323983
COF,0.0,0.0,0.7783733563649842,0.43590372495212604,0.10011635935663872,0.25395485696907,0.11804991930660845,0.015368386349568075,0.06648641964321148,0.0,0.07254058346939132,0.0,17.840014533270296
COO,1.5568752885241772,0.9023702314747288,0.36954935624957913,0.2797728950608395,0.23030823689404895,0.331115159091895,0.14481254501768717,0.10018247452960415,0.11502891634404162,0.6508804584461325,0.31527638411684566,3.1597973176887204,5.769785943438879
COP,1.618864124567798,1.4884045797562853,0.42122433137571746,0.3037188118730165,0.21002680346822283,0.2792614936213432,0.174731952870954,0.08982226030797773,0.1308629970756621,0.2684045443237607,0.5568237310991581,12.676557915107358,8.755384063389373
COR,0.9254200008186587,0.5607404866632273,23.43247991320941,1.2280082046883676,0.09674239288272145,14.283094281834721,8.28739866098463,0.0019502770430333757,-0.05958750433914406,0.032183622861154525,4.107535679483553,0.47769987788812246,12.740123452038361
COST,1.0560546127098938,0.5482971328989362,0.4740962739195148,0.3592440342576976,0.1559018772959629,0.0,0.2562652405765961,0.08469717366355455,0.19222624097791455,0.12594742271909287,3.3390562754369095,1.7205356813130384,105.89115550885506
CPAY,1.0206486407088071,0.0,2.0461952031303188,0.8261903809028966,0.4410498050065795,1.5969591646796186,0.2943428796816388,0.06417836674894206,0.0961601968296861,0.777868652987069,0.22771072706755963,0.0,1.681561621617405
CPB,0.8473740174756473,0.3383471846853466,1.516137727787872,0.6501136891582031,0.42913661501380124,1.3980954971650428,0.25968292213889504,0.0734017312817572,0.1063118858207356,0.31673611261124,0.7394414920646356,2.4602324047337674,17.331882429084995
CPRT,5.22011853378423,5.113028493541374,0.06424708349449687,0.05927630504665754,0.0513132279785827,0.0,0.23591742123703963,0.198105209242495,0.22680153222177613,0.4688383503362889,0.6079756665316455,33.547559294900864,25.94309462399374
CPT,0.9803177364490225,0.0,0.7767418287709118,0.44081086532164254,0.4069682618182626,0.6975280629952885,0.07888939482368693,0.04209034228525223,0.0454441584991317,0.6130609620827064,0.15130468268178998,0.0,87.26112917158487
CRL,1.3766223758452674,1.124463857157726,0.9988229457499728,0.5337610316939052,0.3975412181284843,0.8006342075447495,0.152829014634449,0.06096979703165265,0.08161225387441637,0.3689718355502344,0.5158422301332694,5.53804011091002,6.865688760488567
CRM,1.0986643235715552,0.0,0.21109994208404678,0.1846214388978532,0.1275614015167516,0.05523594678943677,0.048971020403094825,0.030030265380156178,0.04402601768595035,0.7418066782142783,0.316286963578311,0.0,2.8546755271913518
CRWD,1.9929235451948917,0.0,0.6265405845883427,0.3847075936472729,0.19359348742634314,0.0,-0.10437479070597129,-0.030451466653053746,-0.06109763731152695,0.7394769698323609,0.4066963192285977,0.0,3.6898972602550373
CSCO,1.435375344428613,1.3434023750420543,0.23588944567997036,0.19704088530801497,0.10060817218006098,0.05910349927540785,0.27931966714973105,0.11937414383991447,0.2264573937138369,0.6309868216210482,0.5396841784909413,14.275696399410203,8.720754342655747
CSGP,12.364237178506704,0.0,0.1803403622291478,0.1552896459455123,0.1439991183409473,0.0,0.04958133437121362,0.03978681442608445,0.04284406734386548,0.8100315390985445,0.2606912335408747,0.0,14.659306091378658
CSX,1.6353346228888834,1.4909018775353613,1.3981755410785364,0.597659869192967,0.4344113690259072,1.1930847583901563,0.2817879266559232,0.08744283475352796,0.11910999080889002,0.3964784705252938,0.31872603349097456,14.711810630805148,14.21466999841524
CTAS,1.8594428786274058,0.9432121979265015,0.7356564778984576,0.4657428897054905,0.3243430695392378,0.6196804629358658,0.34694013419398423,0.15392282855699863,0.20611423915104332,0.47249067763912045,0.9765525369574755,2.7901366078756027,7.764283667827076
CTLT,2.285308302339035,1.7257318016971703,0.8996609468850295,0.48454657623783254,0.4032064118670085,0.7751754292899098,0.0619524434321859,0.02931146349416064,0.03675825627316127,0.3060795638515583,0.4304372848454909,1.9358637810147588,4.258021941772878
CTRA,1.4711631853013585,1.4314684435034888,0.30528387682737823,0.23755846716457224,0.1712220709917367,0.2095161855452908,0.15877486229200224,0.09597898279144944,0.1296853300415464,0.4953152596581562,0.3090367606209469,55.0067124024751,6.7975714946769
CTSH,2.1096778263351976,0.0,0.130803784815905,0.12414257733731113,0.0882339966416427,0.0,0.16336306300887252,0.11131573894527476,0.15490293760936777,0.35926912957795665,1.0390071408947563,0.0,5.1858230317220215
CTVA,1.619863566603249,1.0174112747591124,0.05932908500730452,0.05626080574453042,0.03521131111941185,0.0,0.04245112306118526,0.02537909684740795,0.0406131140774313,0.4097321722088679,0.3783174015363843,1.1253533763756827,4.103094030492867
CVS,0.8990642242612771,0.633371849341281,1.0624293399181284,0.6067875382660202,0.3306298806316292,0.6699823224955987,0.09452098586839888,0.0294382461953132,0.05244910374820337,0.17052619696154744,1.3159137207965237,2.865286532026579,26.52045402886349
