Ticker,R2_Sum,GDP,Inflation,Unemployment,CCI
['EBAY'],0.8499353846153845,0.17714,0.19635,0.20766,0.26501
['ECL'],0.7853553846153847,0.2331,0.24425,0.24458,0.27807
['ED'],0.8875530769230768,0.24974,0.24777,0.2729,0.22959
['EFX'],0.8313776923076923,0.22238,0.2144,0.2127,0.19666
['EG'],0.797143846153846,0.15012,0.16449,0.14215,0.23555
['EIX'],0.8316515384615383,0.24984,0.24643,0.25159,0.25215
['ELV'],0.8463830769230769,0.17257,0.15932,0.16548,0.19494
['EL'],0.8399307692307693,0.25742,0.27999,0.23213,0.23046
['EMN'],0.8383430769230767,0.21629,0.20932,0.2309,0.34349
['EMR'],0.7739869230769233,0.28403,0.2642,0.25206,0.19972
['ENPH'],0.8255507692307694,0.27083,0.24149,0.23691,0.25077
['EPAM'],0.9038507692307693,0.17047,0.20428,0.18651,0.20797
['EQIX'],0.8674200000000002,0.19111,0.20131,0.22514,0.22859
['EQR'],0.8961415384615384,0.17735,0.20318,0.18396,0.20474
['EQT'],0.901206923076923,0.21577,0.21349,0.20135,0.21554
['ES'],0.8376307692307693,0.24689,0.29329,0.25738,0.20245
['ETN'],0.864136923076923,0.2589,0.25478,0.26224,0.22409
['ETR'],0.7845530769230771,0.22812,0.25124,0.28011,0.24054
['ETSY'],0.8238607692307693,0.20171,0.20309,0.17085,0.27051
['EVRG'],0.8322861538461537,0.24247,0.2359,0.24014,0.28149
['EW'],0.810693076923077,0.21789,0.22271,0.23296,0.24952
['EXC'],0.8789715384615385,0.25125,0.23245,0.24355,0.27275
['EXPD'],0.845306923076923,0.16459,0.18296,0.15396,0.26773
['EXPE'],0.8974676923076922,0.2201,0.21701,0.1932,0.21584
['EXR'],0.7570323076923077,0.21372,0.22722,0.21536,0.18985
['FANG'],0.8541299999999998,0.21499,0.2237,0.23405,0.32726
['FAST'],0.7734815384615386,0.23609,0.25716,0.26577,0.24097
['FCX'],0.7792584615384615,0.2612,0.22811,0.2754,0.23529
['FDS'],0.7953692307692306,0.20919,0.21904,0.20835,0.20958
['FDX'],0.8127392307692307,0.26028,0.26363,0.23214,0.24395
['FE'],0.90705,0.22148,0.20115,0.22972,0.34765
['FFIV'],0.8059123076923077,0.24295,0.22276,0.2001,0.25727
['FICO'],0.8665823076923077,0.20404,0.19799,0.21601,0.22812
['FIS'],0.9068976923076922,0.1937,0.20763,0.21778,0.22705
['FITB'],0.8901376923076925,0.15538,0.15407,0.19557,0.18728
