Ticker,Avg Stock Price All Time,Stock Trend,Average Returns % (Mean),Standard Deviation,"Cov (Stock, Market)",Variance (Market),Beta,"R2_score (Indicators: GDP, Inf, Unemp, CCI)"
CPT,79.01,Decreasing,10.11,17.15,0.0151,0.0294,0.51,0.955579463240919
CRL,145.57,Decreasing,20.21,30.15,0.0313,0.0909,0.34,0.9318874508794682
CRM,131.88,Decreasing,17.79,18.4,0.0102,0.0338,0.3,0.9699020586040643
CSCO,33.1,Increasing,12.76,14.11,0.01,0.0199,0.5,0.9879777208200732
CSGP,44.84,Decreasing,20.93,19.48,0.0061,0.0379,0.16,0.9704889797730496
CSX,18.93,Increasing,18.57,25.39,0.0201,0.0645,0.31,0.9832379995078381
CTAS,209.38,Decreasing,28.08,9.53,0.0078,0.0091,0.86,0.9727675953088702
CTRA,20.24,Decreasing,1.64,22.33,-0.0034,0.0499,-0.07,0.8797613115080254
CTSH,58.49,Increasing,7.34,14.93,0.0129,0.0223,0.58,0.9375247238965407
CVS,66.09,Decreasing,6.91,21.04,0.0109,0.0443,0.25,0.9020306018988515
CVX,92.69,Decreasing,9.27,21.46,0.0006,0.0461,0.01,0.9818583352146726
C,46.73,Decreasing,3.49,20.24,0.0204,0.041,0.5,0.9063859293376519
DAL,39.26,Decreasing,12.01,31.27,0.021,0.0978,0.21,0.9388399180164662
DD,63.21,Decreasing,8.72,23.34,0.0218,0.0545,0.4,0.901996975867716
DECK,179.95,Decreasing,29.78,36.03,0.022,0.1298,0.17,0.9363290592623992
DE,177.63,Decreasing,21.28,26.8,0.0268,0.0718,0.37,0.9633182453430447
DFS,65.75,Decreasing,13.42,30.45,0.0335,0.0927,0.36,0.9328541496262563
DGX,89.46,Decreasing,11.51,11.21,0.0072,0.0126,0.57,0.9635526313342435
DG,119.76,Decreasing,15.17,18.43,0.0013,0.034,0.04,0.9538974393211269
DHI,49.3,Decreasing,20.65,18.53,0.0106,0.0343,0.31,0.9416536539078254
DHR,116.6,Decreasing,24.71,18.69,0.0112,0.0349,0.32,0.9564857386162613
DIS,105.98,Decreasing,7.62,23.3,0.0223,0.0543,0.41,0.9067524485718151
DLR,86.96,Increasing,12.23,15.74,0.0023,0.0248,0.09,0.97406212751727
DLTR,93.57,Decreasing,11.5,15.9,0.0004,0.0253,0.02,0.9811004169874116
DOC,22.64,Decreasing,-0.4,16.48,0.0094,0.0271,0.35,0.7996797469361787
DOV,85.51,Decreasing,13.74,17.49,0.017,0.0306,0.56,0.9584901648560721
DPZ,229.23,Increasing,22.56,19.39,0.0103,0.0376,0.27,0.9595661907783487
DRI,81.27,Decreasing,18.73,21.56,0.0177,0.0465,0.38,0.9700444809965717
DTE,76.39,Decreasing,10.72,10.29,0.0058,0.0106,0.55,0.9817055269042511
DUK,67.23,Decreasing,7.76,7.28,0.0045,0.0053,0.85,0.979848594933778
DVA,77.73,Decreasing,6.46,21.07,0.0125,0.0444,0.28,0.8946279204350334
DVN,33.23,Decreasing,14.98,62.02,0.032,0.3846,0.08,0.9065363740400594
DXCM,49.65,Decreasing,41.11,43.48,0.0062,0.189,0.03,0.9496050399815846
D,55.43,Decreasing,3.59,13.32,0.003,0.0177,0.17,0.8787277308601696
EA,91.63,Increasing,22.76,30.07,0.0111,0.0904,0.12,0.9732501865480352
EBAY,34.77,Decreasing,9.42,19.25,0.0175,0.0371,0.47,0.9246111413468359
ECL,140.64,Decreasing,8.87,13.23,0.0074,0.0175,0.42,0.9677481586762849
ED,61.91,Increasing,9.31,10.23,-0.0058,0.0105,-0.55,0.9866450135666842
EFX,133.12,Decreasing,15.69,18.54,0.0141,0.0344,0.41,0.942976667029612
EG,204.5,Decreasing,13.53,11.35,0.0035,0.0129,0.27,0.9629547369168033
EIX,50.07,Increasing,7.91,10.65,-0.001,0.0113,-0.09,0.9538684837771849
ELV,239.64,Decreasing,22.66,18.79,0.0141,0.0353,0.4,0.9818414352525207
EL,145.81,Decreasing,14.41,22.52,0.0192,0.0507,0.38,0.9532266720124227
EMN,70.1,Decreasing,5.87,21.54,0.0237,0.0464,0.51,0.8896247295686488
EMR,60.42,Decreasing,8.24,16.24,0.0162,0.0264,0.61,0.9547931506981278
ENPH,62.11,Decreasing,89.25,132.77,0.0225,1.7627,0.01,0.9519333735495684
EOG,74.55,Decreasing,12.7,32.85,0.0147,0.1079,0.14,0.9395852547711764
EPAM,181.74,Decreasing,31.6,37.95,0.0341,0.144,0.24,0.9318357409226029
EQIX,430.81,Decreasing,18.58,16.99,-0.0016,0.0289,-0.06,0.9527496544149933
EQR,53.13,Decreasing,7.41,16.11,0.0113,0.026,0.43,0.9407040068554107
EQT,30.35,Increasing,5.52,39.41,0.0082,0.1553,0.05,0.9223570634802973
ESS,198.15,Decreasing,8.35,17.15,0.0138,0.0294,0.47,0.9422719204984764
ES,54.83,Decreasing,9.07,11.39,0.0004,0.013,0.03,0.9699799287452775
ETN,88.69,Decreasing,16.02,18.94,0.0146,0.0359,0.41,0.9480153196655178
ETR,70.88,Decreasing,9.36,10.44,-0.0006,0.0109,-0.06,0.977947568840994
EVRG,42.09,Increasing,10.44,12.39,-0.0002,0.0154,-0.01,0.9776636913862293
EW,53.54,Decreasing,22.48,21.71,0.0085,0.0471,0.18,0.9733609264181107
EXC,24.7,Decreasing,10.83,12.67,0.0037,0.0161,0.23,0.9890373181597913
EXPD,68.1,Decreasing,13.18,13.89,0.0138,0.0193,0.72,0.963884912772827
EXPE,109.85,Decreasing,10.83,30.11,0.0314,0.0907,0.35,0.885147982920755
EXR,85.48,Decreasing,18.94,21.83,0.0161,0.0476,0.34,0.9517964931110162
FANG,75.53,Decreasing,25.75,45.09,0.0297,0.2033,0.15,0.9597072302052848
FAST,29.96,Decreasing,12.37,13.35,0.0047,0.0178,0.26,0.9629039204985078
FCX,21.84,Decreasing,14.05,55.65,0.0516,0.3097,0.17,0.9413353580816848
FDS,234.53,Decreasing,17.0,10.51,0.0026,0.011,0.24,0.9753022414091925
FDX,175.13,Decreasing,11.64,22.28,0.0205,0.0497,0.41,0.8911955400043067
FE,28.67,Decreasing,4.88,12.11,-0.0028,0.0147,-0.19,0.971532357061007
FFIV,139.86,Decreasing,7.76,21.06,0.0232,0.0443,0.52,0.9024340606543937
FICO,280.85,Decreasing,34.0,21.58,-0.0087,0.0466,-0.19,0.9439056928220254
FIS,79.83,Decreasing,7.02,21.43,0.0091,0.0459,0.2,0.9234383949554544
FITB,21.7,Decreasing,11.3,29.46,0.0327,0.0868,0.38,0.920001060333581
FI,73.95,Increasing,18.33,12.94,0.0021,0.0168,0.12,0.97932423468634
FMC,68.77,Decreasing,9.54,25.08,0.008,0.0629,0.13,0.9659834930270974
FRT,94.63,Increasing,4.12,17.29,0.0108,0.0299,0.36,0.9209469393552187
FSLR,72.41,Decreasing,18.62,28.74,0.0073,0.0826,0.09,0.9098667520755745
FTNT,23.02,Decreasing,35.27,33.22,0.0276,0.1103,0.25,0.9601936410756715
F,9.14,Decreasing,6.03,32.97,0.0319,0.1087,0.29,0.9089324568825392
GD,149.36,Increasing,15.34,20.12,0.0133,0.0405,0.33,0.9685600350093799
GEN,14.31,Decreasing,10.4,24.1,0.0075,0.0581,0.13,0.9201272264409647
GE,81.96,Increasing,4.0,33.52,0.0113,0.1124,0.1,0.9615148919520828
GILD,60.65,Decreasing,8.3,21.22,0.0043,0.045,0.1,0.8132115484373453
GIS,48.33,Decreasing,8.7,11.82,-0.0062,0.014,-0.44,0.9579383944503648
GLW,23.73,Increasing,12.62,19.58,0.021,0.0383,0.55,0.9601326283775702
GL,75.42,Increasing,11.21,9.02,0.0058,0.0081,0.72,0.9835686923498004
GM,33.31,Decreasing,6.35,29.25,0.0331,0.0856,0.39,0.8428595519883237
