Ticker,Current Assets,Quick Ratio,Debt To Equity Ratio,Total Debt To Total Capitalization Ratio,Debt To Assets Ratio,Net Debt To Equity Ratio,Return On Equity,Return On Assets,Return On Investment,Gross Profit Margin,Asset Turnover,Inventory Turnover,Receivables Turnover,GDP,Inflation,Unemployment,CCI
EQT,0.88063,1.0,0.81877,0.81128,0.91612,0.94579,0.95115,0.96887,0.95443,0.79092,0.76376,1.0,0.91397,0.21577,0.21349,0.20135,0.21554
ES,0.75042,0.79633,0.86668,0.87563,0.87202,0.86051,0.78195,0.78513,0.75502,0.90881,0.89924,0.85849,0.87897,0.24689,0.29329,0.25738,0.20245
ETN,0.66591,0.71082,0.89969,0.9436,0.90207,0.86304,0.9113,0.8788,0.91577,0.8924,0.9404,0.73296,0.97702,0.2589,0.25478,0.26224,0.22409
ETR,0.64082,0.77622,0.89933,0.85323,0.75046,0.80946,0.71975,0.66724,0.7179,0.74746,0.88508,0.78048,0.95176,0.22812,0.25124,0.28011,0.24054
ETSY,0.74526,1.0,0.84121,0.84452,0.88415,0.92081,0.70113,0.71053,0.68463,0.81568,0.85065,1.0,0.71162,0.20171,0.20309,0.17085,0.27051
EVRG,0.84496,0.92283,0.90975,0.90492,0.93444,0.90506,0.74097,0.75733,0.71286,0.71857,0.68879,0.9529,0.82634,0.24247,0.2359,0.24014,0.28149
EW,0.69913,0.79238,0.8538,0.81034,0.84488,1.0,0.74172,0.73862,0.72203,0.88858,0.94025,0.62814,0.87914,0.21789,0.22271,0.23296,0.24952
EXC,0.87845,0.89989,0.93837,0.92672,0.8688,0.93255,0.96013,0.88867,0.93188,0.84824,0.67139,0.79175,0.88979,0.25125,0.23245,0.24355,0.27275
EXPD,0.77411,1.0,0.83463,0.83383,0.81185,1.0,0.74732,0.7565,0.72011,0.80051,0.81988,1.0,0.89025,0.16459,0.18296,0.15396,0.26773
EXPE,0.88506,1.0,0.73191,0.73061,0.93007,0.87521,0.89827,0.9275,0.91398,0.88628,0.96257,1.0,0.92562,0.2201,0.21701,0.1932,0.21584
EXR,0.73743,1.0,0.72405,0.69457,0.72817,0.67775,0.77514,0.75113,0.76982,0.57319,0.75302,1.0,0.65715,0.21372,0.22722,0.21536,0.18985
FANG,0.72485,0.68126,0.93437,0.94567,0.94062,0.91963,0.84439,0.83951,0.9075,0.81117,0.87588,0.86686,0.81198,0.21499,0.2237,0.23405,0.32726
FAST,0.72471,0.60517,0.72508,0.6536,0.75457,0.6457,0.94988,0.92023,0.89663,0.70113,0.90616,0.78093,0.79147,0.23609,0.25716,0.26577,0.24097
FCX,0.93388,0.77172,0.84222,0.81989,0.78274,0.78247,0.70421,0.73999,0.76742,0.84161,0.76655,0.68655,0.69111,0.2612,0.22811,0.2754,0.23529
FDS,0.7068,1.0,0.759,0.7398,0.8028,0.7502,0.8384,0.779,0.6828,0.7848,0.782,1.0,0.7142,0.20919,0.21904,0.20835,0.20958
